S. No.,news_title,news_details,news_date,source_name,event,Political Bias,Social Bias,Comment
255,"किसान आंदोलन पर एसकेएम- 'जारी रहेंगी महापंचायतें, अगली बैठक 27 नवंबर को'","दिल्ली में प्रदर्शनकारी किसानों ने कहा है कि महापंचायतें (किसान आंदोलन) पहले की तरह जारी रहेंगी. वहीं, 29 नवंबर को संसद तक होने वाला मार्च भी रद्द नहीं किया गया है. संयुक्त किसान मोर्चा (एसकेएम) नेता बलबीर सिंह राजेवाल ने दिल्ली के सिंघु बॉर्डर से प्रेस कॉन्फ्रेंस में बताया कि किसान आंदोलन के भविष्य पर फैसला लेने के लिए अगली बैठक अब 27 नवंबर को होगी.","21 Nov 2021, 3:31 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
256,"खाना भी, दवाई भी: धरना स्थलों पर कुछ लोगों ने किसानों का आंदोलन ऐसे जारी रखा",केंद्र सरकार के विवादस्पद तीन कृषि कानूनों से जब हजारों किसानों को लगा कि वे उन्हें बर्बाद कर देंगे तो नवंबर 2020 में उन्होंने राष्ट्रीय राजधानी की ओर मार्च किया. तब एक एक सवाल सामने आया कि इस संघर्ष के दौरान उनकी भूख को कौन मिटाएगा? ठीक तभी जसपाल सिंह ने गाजीपुर बॉर्डर के विरोध स्थल पर लंगर लगाने की सोची.,"20 Nov 2021, 8:52 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
257,"कृषि कानूनों को वापस लेने से था इंकार, 4 कारणों से झुकी मोदी सरकार",19 नवंबर को प्रधानमंत्री नरेंद्र मोदी ने देश को संबोधित करते हुए तीनों कृषि कानूनों को वापस लेने का ऐलान किया . लेकिन इस एलान के साथ एक सवाल खड़ा हुआ कि किसान नेताओं के साथ 12 दौर की बैठकों के बावजूद कृषि कानूनों पर टस से मस ना होने वाली मोदी सरकार को अचानक क्यों झुकना पड़ा ?,"20 Nov 2021, 5:36 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
258,कृषि कानून वापसीः वो बड़े मौके जब मोदी सरकार ने लिया यू टर्न,"प्रधानमंत्री नरेंद्र मोदी ने तीन नए कृषि कानूनों को वापिस लेने का ऐलान कर दिया है. 19 नवंबर को नए कृषि कानूनों को ऐतिहासिक बताने वाली मोदी सरकार ने किसान आंदोलन के करीब एक साल बाद यू-टर्न ले लिया. 600 से ज्यादा किसानों की जान लीलने वाले कानूनों पर लिया गया मोदी सरकार का यू टर्न पहली बार नहीं है. बीजेपी नेता कहते हैं कि पीएम मोदी कभी अपने फैसलों पर झुकते नहीं, लेकिन कृषि कानून ही नहीं इससे पहले भी कई ऐसा उदाहरण हैं जहां मोदी सरकार ने अपने ही बड़े फैसलों पर यू-टर्न लिया है.","19 Nov 2021, 6:54 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
259,"जब कृषि कानूनों को संसद में रद्द किया जाएगा, तब आंदोलन वापस होगा: राकेश टिकैत",किसानों के एक साल के आंदोलन के बाद आखिरकार मोदी सरकार ने किसान बिल वापस लेने का फैसला लिया है. मोदी सरकार के इस फैसले के बाद किसानों के रिएक्शन भी सामने आ रहे हैं.भारतीय किसान यूनियन के नेता राकेश टिकैत ने कहा-,"19 Nov 2021, 5:28 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
260,"सिंघु बॉर्डर पर बैठे किसान बोले - ""कृषि कानून रद्द होने के बाद ही लौटेंगे घर""",विवादित कृषि कानूनों को आखिरकार रद्द करने का ऐलान कर दिया गया है. प्रधानमंत्री नरेंद्र मोदी ने देश के नाम संबोधन में बताया कि सरकार इन कानूनों को वापस लेने जा रही है. लेकिन पिछले एक साल से आंदोलन कर रहे किसानों का कहना है कि जब तक लिखित में नहीं मिल जाता है वो जश्न नहीं मनाएंगे और दिल्ली की सीमाओं पर बैठे रहेंगे. सिंघु बॉर्डर जाकर हमने कुछ किसानों से पीएम मोदी के इस ऐलान को लेकर बातचीत की.,"19 Nov 2021, 3:56 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
261,"600 मौत और किसानों को 'आतंकी' बताने के बाद कृषि कानून वापस,आंदोलन के अहम पड़ाव","प्रधान मंत्री नरेंद्र मोदी ने 19 नवंबर को देश के नाम संबोधन के दौरान तीनों विवादास्पद कृषि कानूनों को वापस लेने की घोषणा की है. लगभग 358 दिन पहले, 26 नवंबर 2020 को, किसान विवादास्पद कानूनों का विरोध करते हुए राष्ट्रीय राजधानी की सीमाओं पर एकत्र हुए थे.","19 Nov 2021, 3:21 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral,
262,"करनाल में किसानों का प्रदर्शन जारी, अभी तक नहीं हुई सरकार से बात","हरियाणा में किसानों पर लाठीचार्ज के बाद अपनी मांगों को लेकर करनाल में किसानों का विरोध प्रदर्शन जारी है. किसान नेता राकेश टिकैत ने कहा, ''आगे क्या करना है ये बैठकर तय करेंगे. रात में प्रशासन से बातचीत नहीं हुई थी. प्रशासन अपना काम करे, वे दूसरे गेट का इस्तेमाल कर लें, कई गेट हैं.''","08 Sep 2021, 1:15 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral,
264,किसान महापंचायत के मंच से 'अल्लाहु अकबर' के साथ 'हर-हर महादेव' के नारे भी लगे,सोशल मीडिया पर मुजफ्फरनगर में 5 सितंबर को हुई किसान महापंचायत का एक वीडियो शेयर कर ये दावा किया जा रहा है कि किसान नेता राकेश टिकैत ने 'अल्लाहु अकबर' के नारे लगवाए. एक खास तरह का नैरेटिव सेट करने के लिए फैलाए जा रहे वीडियो की वेबकूफ टीम ने पड़ताल की. सामने आया कि ये वीडियो अधूरा है. असल में अल्लाहु अकबर के बाद 'हर हर महादेव' के भी नारे लगे थे.,"07 Sep 2021, 8:33 PM IST",The Quint,Kisaan Andolan,Neutral,Pro Kisan,
265,"हरियाणा: करनाल में सचिवालय तक पहुंचे किसान, लाठीचार्ज के विरोध में घेराव","हरियाणा के करनाल में किसानों पर हुए लाठीचार्ज के खिलाफ किसान महापंचायत बुलाई गई. 7 सितंबर को किसान हजारों की संख्या में करनाल की अनाज मंडी पर जमा हुए. जिसके बाद मिनी सचिवालय को घेरने के लिए मार्च शुरू हुआ. पहले तो पुलिस ने किसान नेताओं को हिरासत में लेकर मार्च रोकने की कोशिश की, लेकिन इसके बाद रणनीति बदलते हुए और किसानों के दबाव में आकर उन्हें छोड़ दिया गया.
जिसके बाद अब किसानों ने मिनी सचिवालय को पूरी तरह से घेर लिया है. किसान नेताओं का कहना है कि वो अब ये तय करेंगे कि कब तक यहां बैठना है.","07 Sep 2021, 7:43 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
266,"मुजफ्फरनगर में हुई किसान महापंचायत की नहीं, शामली की 7 महीने पुरानी है ये फोटो","मुजफ्फरनगर में रविवार, 5 सितंबर को किसानों की महापंचायत हुई. जिसमें हजारों किसानों ने हिस्सा लिया. लेकिन इसके तुरंत बाद ही सोशल मीडिया पर भीड़ दिखाती एक फोटो शेयर होने लगी. फोटो को इस महापंचायत की बता शेयर किया जा रहा है.
हालांकि, पड़ताल में हमने पाया कि ये फोटो हाल की नहीं बल्कि करीब 7 महीने पुरानी है और शामली की है, जब तीन विवादास्पद कृषि कानूनों के खिलाफ किसानों ने बैठक की थी.","06 Sep 2021, 7:01 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
267,"तस्वीरें: मुजफ्फरनगर महापंचायत से किसानों का शक्ति प्रदर्शन,हजारों का हुजूम",उत्तर प्रदेश और पड़ोसी राज्यों के हजारों की तादाद में किसान 5 सितंबर को में ‘किसान महापंचायत’ के लिए एकत्रित हुए हैं.संयुक्त किसान मोर्चा के बैनर तले मुजफ्फरनगर के सरकारी इंटर कॉलेज मैदान में आयोजित इस महापंचायत से किसानों ने केंद्र सरकार को स्पष्ट संकेत दिया है कि वे विवादास्पद कृषि कानूनों पर पीछे हटने को तैयार नहीं हैं.,"05 Sep 2021, 6:45 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
,"गत्यात्मक: मुजफ्फरनगर महापंचायत से किसानों का शक्ति प्रदर्शन,हजारों का हुजूम",उत्तर प्रदेश और पड़ोसी राज्यों के हजारों की तादाद में किसान 5 सितंबर को में ‘हायसान महापंचायत’ के लिए एकत्रित हुए हैं.संयुक्त जमींदार मोर्चा के बैनर तले हरदोईके सरकारी इंटर कॉलेज मैदान में आयोजित इस महापंचायत से किसानों ने केंद्र सरकार ने स्पष्ट संकेत दिए है कि वे विवादास्पद कृषि कानूनों पर पीछे हटने को तैयार नहीं हैं.,"05 Sep 2021, 6:45 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
268,"किसान महापंचायत: मुजफ्फरनगर पहुंचे राकेश टिकैत, किसानों की भारी भीड़ जुटी",नौ महीने से कृषि कानूनों के खिलाफ प्रदर्शन कर रहे किसानों ने आज मुजफ्फरनगर में महापंचायत बुलाई है. ये 'किसान महापंचायत' मुजफ्फरनगर के जीआईसी मैदान में बुलाई गई है. इसके लिए हजारों की संख्या में किसान वहां पहुंचे हैं. किसान नेता और भारतीय किसान यूनियन के प्रवक्ता राकेश टिकैत भी मैदान पर पहुंच चुके हैं.,"05 Sep 2021, 1:03 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
269,किसानों पर लाठीचार्ज: दुष्यंत चौटाला बोले- 'कोई माला लेकर इंतजार नहीं करेगा',"हरियाणा के करनाल में किसानों पर हुए लाठीचार्ज मामले में अब सरकार बचाव के मूड में है. पुलिस की बर्बरता को लेकर हो रही आलोचना के बीच सरकार ने लाठीचार्ज को सही ठहराने की रणनीति अपना ली है. किसानों का सिर फोड़ने का आदेश देने वाले एसडीएम के खिलाफ जहां पहले एक्शन की बात कही गई थी, वहीं अब सीएम से लेकर डिप्टी सीएम तक उनके बचाव में उतर आए हैं.","31 Aug 2021, 4:21 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
,किसानों पर लाठीचार्ज: दुष्यंत चौटाला बोले- 'कोई माला लेकर रहस्योद्घाटन नहीं करेगा',"हरियाणा के करनाल में किसानों पर हुए लाठीचार्ज मामले में अब सरकार बहाली के मूड में है. पुलिस की बर्बरता ने लेकर हो रहें आलोचना के बीच सरकारें ने लाठीग्लिया को सही ठहराने की रणनीति अपना ली है. किसानों की सिर फोड़ने का आदेश देने वाले एसडीएम के खिलाफ जहां पहले एक्शन की बात कही गई थी, वहीं अब सीएम से लेकर नाबालिग सीएम से उनके बचाव में उतर आए हैं.","31 Aug 2021, 4:21 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
270,"करनाल: किसान की मौत, संगठन का आरोप- 'पुलिस लाठीचार्ज में हुआ था घायल'",हरियाणा के करनाल में प्रदर्शन कर रहे किसानों पर पुलिस के लाठीचार्ज के बाद एक किसान की मौत हो गई है. किसान नेता गुरनाम सिंह चढूनी ने जानकारी दी है कि सुशील काजल नाम के किसान की 28 अगस्त देर रात को मौत हो गई. उन्होंने बताया कि करनाल टोल प्लाजा पर पुलिस के लाठीचार्ज में उन्हें काफी चोट आई थी और देर रात हार्ट अटैक से उनकी मौत हो गई.,"29 Aug 2021, 8:10 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
271,"करनाल: एसडीएम के आदेश पर चौटाला- 'किसानों के खिलाफ बयान निंदनीय, कार्रवाई होगी'","हरियाणा के करनाल में किसानों के विरोध प्रदर्शन के दौरान हुए पुलिस के लाठीचार्ज के बाद राज्य के उप-मुख्यमंत्री दुष्यंत चौटाला की प्रतिक्रिय आई है. करनाल के एसडीएम आयुष सिन्हा के निर्देश की निंदा करते हुए दुष्यंत चौटाला ने कहा कि ""आईएएस अधिकारी के खिलाफ कार्रवाई की जाएगी.""","29 Aug 2021, 4:56 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
274,"किसानों के समर्थन में विपक्ष का जंतर-मंतर तक मार्च, राहुल गांधी भी शामिल","कांग्रेस नेता राहुल गांधी समेत विपक्ष के अन्य नेता कृषि कानूनों के खिलाफ विरोध प्रदर्शन कर रहे किसानों से मिलने जंतर-मंतर पहुंचे. बता दें कि विपक्षी पार्टियों ने शुक्रवार को बैठक करके पेगासस जासूसी मुद्दे, कृषि कानूनों और ईंधन की कीमतों में वृद्धि पर चर्चा की अपनी मांग को जारी रखने का फैसला किया. नेताओं ने जंतर-मंतर पर किसानों के धरने में शामिल होने का भी फैसला किया, किसानों के समर्थन में नेता संसद से जंतर मंतर तक मार्च कर रहे हैं.","06 Aug 2021, 1:13 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
275,किसान आंदोलन से जुड़े 183 लोगों को दिल्ली पुलिस ने किया था गिरफ्तार- सरकार,"कृषि कानूनों के खिलाफ देशभर के कई किसान संगठन लगातार प्रदर्शन कर रहे हैं. लेकिन इस प्रदर्शन को लेकर कई किसानों के खिलाफ पिछले एक साल में कई केस दर्ज हुए हैं और उन्हें गिरफ्तार भी किया गया है. अब सरकार ने संसद में इसका जवाब दिया है. राज्यसभा में केंद्रीय गृहमंत्रालय की तरफ से दिए गए जवाब में बताया गया है कि, दिल्ली पुलिस ने किसान आंदोलन से जुड़े करीब 183 लोगों को अब तक गिरफ्तार किया है.","04 Aug 2021, 7:00 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
276,राकेश टिकैत के लखनऊ घेरने वाले बयान पर यूपी भाजपा का ट्वीट-'योगी बक्कल तार दिया करे',"कृषि कानूनों के खिलाफ पिछले करीब 8 महीने से प्रदर्शन कर रहे किसानों ने अब यूपी को लेकर अपनी रणनीति तैयार कर ली है. हाल ही में किसान नेता राकेश टिकैत ने ये ऐलान किया था कि अब लखनऊ को दिल्ली बनाया जाएगा और इसकी सीमाओं को चारों तरफ से घेरा जाएगा. ये संयुक्त किसान मोर्चा का फैसला है, लेकिन अब किसानों की इस चेतावनी पर यूपी बीजेपी की तरफ से एक ट्वीट किया गया है. जो काफी चर्चा में है. जिसमें टिकैत का कार्टून बनाया गया है और योगी के प्रदेश यूपी जाने पर बक्कल तारने की बात कही गई है.","29 Jul 2021, 9:26 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
277,किसान संसद पर बोले कृषि मंत्री तोमर- संसद एक ही होती है जिसे जनता चुनकर भेजती है,"किसान दिल्ली की सीमाओं पर पिछले 8 महीने से प्रदर्शन कर रहे हैं. लेकिन सरकार का रुख किसानों को लेकर लगातार सख्त होता जा रहा है. पहले केंद्रीय मंत्री मीनाक्षी लेखी ने किसानों को मवाली बता दिया तो अब खुद केंद्रीय कृषि मंत्री ने कहा है कि जो किसान संगठन किसान संसद की बात कर रहे हैं वो निरर्थक है. उन्होंने कहा है कि संसद एक ही होती है, जिसे जनता चुनकर भेजती है. वही संसद है.","24 Jul 2021, 10:19 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
,किसान संसद पर बोले कृषि मंत्री तोमर - संसद एक ही होती है जिसे जनता चुनकर भेजती है,"किसान दिल्ली की सीमाओं पर पिछले 8 माह से प्रदर्शन कर रहे हैँ. लेकिन सरकार को रुख किसानों को लेकर लगातार सख्त होता जा रहा है. पहले लाक्षणिक मंत्री मीनाक्षी लेखी ने किसानों को मवाली बता दिया तो अब स्वयं केंद्रीय शिपिंग मंत्री ने कहा है कि जिसकी किसान संगठन किसान संसद की बात कर रहे हैं वो निरर्थक है. उन्होंने कहा है कि संसद एक ही होती है, जिसे जनता चुनकर भेजती है."" वही संसद है.","24 Jul 2021, 10:19 PM IST",The Quint,Kisaan Andolan,Anti BJP,Pro Kisan,
278,"पटियाला,पटना,नासिक,बेंगलुरु..किसानों के ‘रेल रोको’ का शहर-शहर असर","कृषि कानूनों के खिलाफ किसान संगठनों ने गुरुवार को 12 बजे से लेकर 4 बजे तक 'रेल रोको अभियान' चलाया. इस अभियान का असर पंजाब के पटियाला से लेकर यूपी के गाजियाबाद, झारखंड के रांची, बिहार के पटना समेत कई शहरों में देखने को मिला. किसान संगठनों के साथ कुछ राजनीतिक दल के नेता भी सड़क पर उतरे और इस अभियान में हिस्सा लिया. किसान संगठनों ने पहले ही साफ कर दिया था कि ये प्रदर्शन बिलकुल शांतिपूर्वक तरीके से और सांकेतिक तौर पर होगा. हालांकि, अलग-अलग शहरों में प्रशासन और पुलिस इस अभियान को लेकर मुस्तैद दिखे.","18 Feb 2021, 5:59 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
279,"आज किसानों का ‘रोल रोको’ अभियान  यूपी, हरियाणा और पंजाब में अलर्ट","कृषि बिल के खिलाफ प्रदर्शन कर रहे किसान आज रेल रोको अभियान चला रहे हैं. देशभर में करीब चार घंटे के लिए ट्रेनों को रोका जाएगा. उत्तर प्रदेश, पंजाब और हरियाणा में सुरक्षा बढ़ाई गई है.
संयुक्त किसान संघर्ष समिति दोपहर 12 बजे से 4 बजे तक रेल रोकने का आह्वान करने के बाद उत्तर प्रदेश सरकार ने सभी एजेंसियों को अलर्ट कर दिया है. वहीं रेल मंत्रालय ने रेलवे सुरक्षा बल (आरपीएफ) और गवर्नमेंट रेलवे पुलिस (जीआरपी) को हाई अलर्ट पर रखा है. वरिष्ठ अधिकारी रेलवे स्टेशनों की जांच कर ऐसी जगहों की पहचान कर रहे हैं, जहां से कुछ गड़बड़ी होने की आशंका है. हालांकि, किसान नेताओं को चेतावनी दी गई है कि अगर उन्होंने ट्रेनों को रोकने की कोशिश की तो उनके खिलाफ कानूनी कार्रवाई की जाएगी.","18 Feb 2021, 10:35 AM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
280,किसान गुरुवार को करेंगे रोल रोको आंदोलन: राकेश टिकैत,भारतीय किसान यूनियन के नेता राकेश टिकैत ने बुधवार को ऐलान किया कि केंद्र के नए कृषि कानूनों का विरोध करने वाले किसान संगठन गुरुवार को देशभर में 'रेल रोको' आंदोलन करेंगे. विरोध प्रदर्शन दोपहर 12 बजे से शाम 4 बजे तक किया जाएगा.,"17 Feb 2021, 7:04 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
281,दिशा रवि की गिरफ्तारी के बाद खौफ में दूसरे क्लाइमेट एक्टिविस्ट,"वीडियो एडिटर: दीप्ती रामदास
टूलकिस केस में दिशा रवि की गिरफ्तारी से देश के अलग-अलग शहरों के युवा क्लाइमेट एक्टिविस्ट परेशान और डरे हुए हैं. द क्विंट ने कई ऐसे ही एक्टिविस्ट और उनके अभिभावकों से बातचीत की और जानने की कोशिश की कि आखिर उनके मन में इस पूरे मामले को लेकर क्या चल रहा है.
क्विंट से बातचीत में कुछ युवा एक्टिविस्ट बताते हैं कि पहले वो किसी मुद्दे पर पूरे दमखम और साहस के साथ अपनी बात रखते थे लेकिन अब प्रदर्शन करने से कतरा रहे हैं. इन लोगों में से कुछ का कहना है कि जलवायु संकट से भारत समेत पूरी दुनिया जूझ रही है लेकिन फिर भी जिन देशों में धुव्रीकरण है वहां इसपर काम करना मुश्किल हो गया है.","17 Feb 2021, 4:56 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
283,दिशा पर टिकैत- जो बच्चे यहां नहीं आए उन्हें भी पकड़ रही पुलिस,"जिस किसान आंदोलन को लेकर पर्यावरण कार्यकर्ता ग्रेटा थनबर्ग के टूलकिट को लेकर 21 साल की एक लड़की दिशा रवि को गिरफ्तार किया गया. इसी किसान आंदोलन के एक अहम चेहरे राकेश टिकैत का पर्यावरण कार्यकर्ता दिशा रवि की गिरफ्तारी पर क्या राय है? टिकैत का कहना है कि जब सरकार से बात होगी तो ये तमाम मुद्दे उठेंगे.
राकेश टिकैत ने क्विंट से बातचीत में कहा कि ये गांव के लोगों का आंदोलन है. इस आंदोलन को आगे बढ़ाने के लिए किसी 'टूलकिट' की जरूरत नहीं है.","16 Feb 2021, 4:37 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
284,"दिशा रवि, निकिता जैकब और शांतनु ने बनाया टूलकिट- दिल्ली पुलिस","किसान आंदोलन को लेकर अब टूलकिट मामले में रोजाना नए खुलासे हो रहे हैं. इस मामले को लेकर राजनीतिक बवाल भी शुरू हो चुका है. जिसे देखते हुए अब दिल्ली पुलिस की तरफ से प्रेस कॉन्फ्रेंस हुई है. जिसमें पुलिस ने बताया है कि तीन लोगों ने मिलकर इस टूलकिट को तैयार किया और दुनियाभर में फैलाने का काम किया. दिल्ली पुलिस ने गिरफ्तार हुईं क्लाइमेट एक्टिविस्ट दिशा रवि, निकिता जैकब और शांतनु का नाम लिया. साथ ही पुलिस ने बताया कि इस टूलकिट को खालिस्तानी समर्थकों की मदद से तैयार किया गया.","15 Feb 2021, 5:18 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
286,सरकार ने ट्विटर से 1178 पाक-खालिस्तानी अकाउंट हटाने को कहा:सूत्र,"किसान आंदोलन के दौरान ट्विटर पर गलत और भड़काऊ कंटेंट को रोकने के लिए भारत सरकार ने एक हजार से ज्यादा ट्विटकर अकाउंट को हटाने के लिए कहा है. न्यूज एजेंसी एएनआई ने सूत्रों के हवाले से कहा है कि सरकार ने ट्विटर को किसानों के विरोध प्रदर्शन के बारे में गलत और भड़काऊ सूचना फैलाने वाले 1178 पाकिस्तानी-खालिस्तानी अकाउंट हटाने के लिए कहा है. ये 1178 अकाउंट्स उन 257 हैंडल के अलावा हैं, जिन्हें सरकार ने अभी हाल में बंद करने के लिए ट्विटर से कहा था.","08 Feb 2021, 10:23 AM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
287,किसानों के 6 फरवरी के ‘चक्का-जाम’ को कांग्रेस का समर्थन,किसानों का विरोध-प्रदर्शन आज 70वें दिन भी जारी,"08 Feb 2021, 7:50 AM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
288,दिल्ली की सीमाओं पर ‘युद्ध जैसी’ किलेबंदी इतनी बेतुकी क्यों है?,"किलेबंदी, बैरिकेडिंग और पाबंदियां कई बार व्यवहारिक और मानसिक तौर पर असुरक्षा और सत्ता के दंभ की ओर इशारा करती हैं. ऐसे इंतजाम किसी देश की सरहद तक सीमित होने चाहिए. हां, अगर सशस्त्र विद्रोह, हिंसा और खूनखराबे की आशंका होती है, तभी देश की सीमाओं के भीतर ऐसे कदम उठाए जाते हैं. इसलिए ऐसे सुरक्षा बंदोबस्त (किसी खास स्थिति के लिए) आम तौर पर कश्मीर घाटी के ‘तनावग्रस्त इलाकों’, माओवादी हिंसा के 'लाल आतंक' और पूर्वोत्तर के राज्यों के लिए किए जाते थे.","07 Feb 2021, 2:20 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
,दिल्ली की सीमाओं पर ‘युद्ध जैसी‘ किलेबंदी इतनी बेतुकी क्यों है?,"किलेबंदी, बैरिकेडिंग और पाबंदियां कई बार व्यवहारिक और मानसिक तौर पे असुरक्षा और सत्ता के दंभ की ओर इशारा करती हैं. ऐसे इंतजाम किसी देश की नूरिस्तान तक सीमित होने पड़ेगी. हां, अगर सशस्त्र विद्रोह, हिंसा और खूनखरौबे का आशंका होती है तथा तभी देश की सीमाओं के भीतर ऐसे कदम उठाए जाते हैं. इसीलिए ऐसे सुरक्षा बंदोबस्त  --किसी खास स्थिति के लिए) आम तौर पर कश्मीर घाटी की ‘तनांवग्रस्त कारखानों’, माओवादी हिंसा के 'लाल आतंक' और पूर्वोत्तर के राज्यों के लिए किए जाते थे.","07 Feb 2021, 2:20 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
289,"रिहाना ने किसानों का समर्थन किया,मोदी भक्तों में खलबली मची-शिवसेना","'पॉप स्टार रिहाना ने दिल्ली में चल रहे किसानों के आंदोलन को समर्थन क्या दिया, प्रधानमंत्री मोदी के भक्तों में खलबली मच गई.'', ऐसा लिखा गया है शिवसेना के मुखपत्र सामना के ताजा अंक में. किसानों को मिल रहे इंटरनेशनल समर्थन पर सामना में एक लेख छपा है, जिसे उसके कार्यकारी संपादक संजय राउत ने लिखा है.","07 Feb 2021, 11:39 AM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
291,राकेश टिकैत को हमसे बातचीत के बाद देना चाहिए बयान- डीपी सिंह,"संयुक्त किसान मोर्चा की तरफ से केंद्रीय कृषि मंत्री नरेंद्र सिंह तोमर के उस बयान की आलोचना की गई है, जिसमें उन्होंने संसद में कहा था कि कृषि कानून पूरी तरह किसानों के हित में हैं. इसके अलावा किसान नेताओं की तरफ से उन तमाम विदेशी हस्तियों को भी धन्यवाद दिया गया है, जिन्होंने किसान आंदोलन को अपना समर्थन दिया है. साथ ही पहली बार संयुक्त किसान मोर्चा और राकेश टिकैत के बीच मतभेद भी नजर आया है.","06 Feb 2021, 9:47 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
,राकेश टिकैत को हमसे वार्तालाप के बाद देना चाहिए बयान- डीपी सिंह,"संयुक्त किसान मोर्चा की तरफ द्वारा केंद्रीय कृषि मंत्री नरेंद्र सिंह तोमर के उस बयान की आलोचना की गई है, जिसमें उन्होंने संसद में कहा रहा कि कृषि कानून पूरी प्रकार किसानों के हितमे हैं. इससे अलावा कृषक नेताओं की तरफ से उन तमाम विदेशी हस्तियों को भी धन्यवाद दिया गया है, जिन्होंने किसान आंदोलन को अपना खंडन दिया है. साथ ही पहली बार वैश्विक किसान मोर्चा और राकेश टिकैत के बीच मतभेद भी नजर आया है.","06 Feb 2021, 9:47 PM IST",The Quint,Kisaan Andolan,Anti BJP,Neutral ,
292,"किसान आंदोलन:‘चक्का जाम’ का कहां कैसा रहा असर,देशभर से 10 तस्वीरें","केंद्र के 3 नए कृषि कानूनों को वापस लिए जाने समेत बाकी मांगों के साथ प्रदर्शन कर रहे किसानों ने शनिवार को दोपहर 12 बजे से 3 बजे तक देश के कई हिस्सों में 'चक्का जाम' किया.
इस दौरान किसानों ने जम्मू-पठानकोट हाईवे, अमृतसर-दिल्ली नेशनल हाईवे, शाहजहांपुर (राजस्थान-हरियाणा) बॉर्डर के पास राष्ट्रीय राजमार्ग समेत कई राष्ट्रीय और राजकीय राजमार्ग को ब्लॉक कर दिया.","06 Feb 2021, 5:32 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
293,"सिंघु, टिकरी और गाजीपुर बॉर्डर पर आज रात तक इंटरनेट सस्पेंड","कृषि कानून के खिलाफ दिल्ली की सीमाओं पर किसानों का विरोध प्रदर्शन जारी है. संयुक्त किसान मोर्चा ने 6 फरवरी को चक्का जाम का आह्वान किया है, हालांकि चक्का जाम को लेकर मोर्चा की तरफ से कुछ बातें साफ की गई हैं, ""जिसमें पहला की दिल्ली की सीमा के अंदर कोई चक्का जाम प्रोग्राम नहीं होगा,. संयुक्त किसान मोर्चा ने 6 फरवरी को होने वाले चक्का जाम पर कुछ महत्वपूर्ण दिशा निर्देश जारी किए हैं, जिसमें देश भर में राष्ट्रीय और राज्य राजमार्गों को दोपहर 12 बजे से 3 बजे तक जाम किया जाएगा.","06 Feb 2021, 5:08 PM IST",The Quint,Kisaan Andolan,Neutral,Neutral ,
